topic,amount
购票难,3521385
钓鱼岛,3361824
城管打人系列事件,3340062
乔布斯逝世,2870134
温州动车事故,1906669
两会,1851282
空气污染,1690518
日本地震,1572070
郭美美,1360484
伦敦奥运会,1211923
十八大,1080448
地沟油,1069031
莫言,1063430
药家鑫,939554
北京暴雨,933274
习近平上任,892051
利比亚,888277
薄熙来,858307
雅安地震,852109
卡扎菲身亡,844627
方舟子VS韩寒,786114
计划生育,738234
王立军事件,732541
H7N9,708048
切糕,663538
微公益,521508
李双江儿子打人,485967
李庄,470734
限购令-国八条,458829
吴英案,453727
爸爸去哪儿,450013
刘志军案,439723
重庆打黑事件,434830
活熊取胆,431751
黄岩岛,425076
王老吉商标之争,410817
夏俊峰案,408664
理性爱国，勿伤同胞,399311
小悦悦事件,394922
周克华抢劫案,375223
双汇瘦肉精,362959
新婚姻法,351638
微博打拐及解救乞讨儿童,319731
钱云会,310494
央视你幸福吗调查,301725
重庆不雅视频,284081
京沪高铁开通,282876
3B大战,260216
本拉登身亡,250032
乌坎事件,247283
315打假维权,242149
神舟九号,238685
神州八号,236455
李天一强奸案,220275
毒胶囊,218019
上海11.15大火,217367
南航空姐被打事件,206909
养老金,203184
微笑表叔,200986
金正日逝世,200661
北京治堵,198044
棱镜门,189410
美国大选,179723
抢盐风波,169802
异地高考方案,165664
延时退休,163580
复旦投毒案,158757
医患关系,158531
微信收费传言,154881
玉树地震,151220
第一夫人亮像,150089
哈尔滨阳明滩大桥坍塌,145229
卢美美,139804
足协扫黑,137089
航母,134720
故宫系列事件,131290
申纪兰,130624
湄公河案,128380
扶老人被诬告,128231
杜甫很忙,125985
李刚,124096
赖昌星,122482
个税起征点上调至3500,121670
蒙牛致癌门,113032
薛蛮子嫖娼,112196
方舟子崔永元转基因之争,111529
北京车牌摇号,109345
校长开房,108726
柴静看见,107602
黄金大米,106259
上海染色馒头,106197
上海地铁10号线,105995
安倍晋三当选日本总统,104426
淘宝双十一,97210
最美司机吴斌,94538
周蕊事件,93762
老酸奶,92712
7·20首都机场爆炸案,92668
李娜法网决赛,92411
云南地震,91314
